Batch,Lane,Barcode,Sample,Alignments,ProviderName
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B408,Bdolosa_new,5510_55
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B409,Bdolosa_new,5510_56
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B410,Bdolosa_new,5510_57
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B411,Bdolosa_new,5510_58
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B412,Bdolosa_new,5510_59
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B413,Bdolosa_new,5510_60
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B414,Bdolosa_new,5510_61
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B415,Bdolosa_new,5510_62
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B416,Bdolosa_new,5510_63
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B417,Bdolosa_new,5510_64
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B418,Bdolosa_new,5510_65
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B419,Bdolosa_new,5510_66
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B420,Bdolosa_new,5510_67
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B502,Bdolosa_new,5511_02
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B504,Bdolosa_new,5511_03
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B505,Bdolosa_new,5511_04
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B506,Bdolosa_new,5511_05
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B501,Bdolosa_new,5511_07
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B507,Bdolosa_new,5511_08
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B508,Bdolosa_new,5511_09
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B509,Bdolosa_new,5511_10
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B510,Bdolosa_new,5511_11
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B511,Bdolosa_new,5511_12
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B512,Bdolosa_new,5511_13
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B513,Bdolosa_new,5511_14
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B514,Bdolosa_new,5511_15
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B515,Bdolosa_new,5511_16
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B516,Bdolosa_new,5511_17
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B517,Bdolosa_new,5511_18
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B518,Bdolosa_new,5511_19
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B519,Bdolosa_new,5511_20
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B520,Bdolosa_new,5511_21
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B521,Bdolosa_new,5511_22
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B522,Bdolosa_new,5511_23
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B523,Bdolosa_new,5511_24
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02BL-B524,Bdolosa_new,5511_25
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1701,Bdolosa_new,5511_37
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1702,Bdolosa_new,5511_38
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1703,Bdolosa_new,5511_39
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1704,Bdolosa_new,5511_40
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1705,Bdolosa_new,5511_41
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1706,Bdolosa_new,5511_42
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1707,Bdolosa_new,5511_43
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1708,Bdolosa_new,5511_44
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1709,Bdolosa_new,5511_46
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1710,Bdolosa_new,5511_47
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1711,Bdolosa_new,5511_48
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1712,Bdolosa_new,5511_49
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1713,Bdolosa_new,5511_50
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1714,Bdolosa_new,5511_51
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1715,Bdolosa_new,5511_52
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-1716,Bdolosa_new,5511_53
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-3001,Bdolosa_new,5511_54
/scratch/users/lagoudas/bdolosa/fastq5510to14,-1,AAAAAA,P02LT-3002,Bdolosa_new,5511_55
